Removed Pin From Net: NetName=IBUS_IC Pin=C1-1
Removed Pin From Net: NetName=+5V Pin=R1-1
Removed Pin From Net: NetName=VBOOT Pin=R1-2
Removed Pin From Net: NetName=IBUS_IC Pin=R2-2
Removed Pin From Net: NetName=NetC5_2 Pin=R5-1
Removed Pin From Net: NetName=VDD Pin=R5-2
Removed Pin From Net: NetName=NetC5_2 Pin=R6-1
Removed Pin From Net: NetName=VREF Pin=R6-2
Removed Pin From Net: NetName=GND Pin=R7-1
Removed Pin From Net: NetName=NetC5_2 Pin=R7-2
Removed Member From Class: ClassName=Sheet4_CAN_Interface Member=R1
Removed Member From Class: ClassName=Sheet3_SenseCkts_Programming_Interface Member=R5
Removed Member From Class: ClassName=Sheet3_SenseCkts_Programming_Interface Member=R6
Removed Member From Class: ClassName=Sheet3_SenseCkts_Programming_Interface Member=R7
Change Component Footprint: Designator=J2 Old Footprint=HDR_M_1.27_1x2 New Footprint=HDR_M_2.54_1x3_TH_V_SAM_TSW-103-08-G-S
Change Component Footprint: Designator=J3 Old Footprint=HDR_M_1.27_1x2 New Footprint=HDR_M_2.54_1x3_TH_V_SAM_TSW-103-08-G-S
Change Component Footprint: Designator=J5 Old Footprint=HDR_M_1.27_1x3 New Footprint=HDR_M_2.54_1x3_TH_V_SAM_TSW-103-08-G-S
Change Component Footprint: Designator=J7 Old Footprint=HDR_M_1.27_1x3 New Footprint=HDR_M_2.54_1x3_TH_V_SAM_TSW-103-08-G-S
Change Component Comment : Designator=J2 Old Comment=Header 1x2 New Comment=Header 1x3
Change Component Comment : Designator=J3 Old Comment=Header 1x2 New Comment=Header 1x3
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAP_C_0603"; UniqueID = "\HFYRRJKV" ("\HFYRRJKV")
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "Open Footprint 4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current"; Value = "6.3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description_"; Value = "CON HDR-2.54 Male 1x3 Gold 5.84MH  TH VERT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dev Tools Status"; Value = "Production"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Samtec"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "TSW-103-08-G-S"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MCHP-ID"; Value = "CON2895"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55C to +125C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Owner"; Value = "Dragos Danaila"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Populated"; Value = "YES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Quantity Override"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Restricted Sourcing"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Revision"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Status"; Value = "MCL Design"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "SAM1038-03-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "Header 1x3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Header 2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "HDR-2.54 Male 1x3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "550VAC"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11" ("R11"); Footprint = "RES_C_0603"; UniqueID = "\ABVEXXDI" ("\ABVEXXDI")
Change component parameters (AddParameter): Name = "Category"; Value = "Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "SVN Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://chn-vm-apps.microchip.com/mchprepo/parts/Datasheets/nrc.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Local Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Datasheets\nrc.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Open Symbol"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Library\LibraryRefs\Resistor.SchLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "Open Footprint"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Library\Footprints\RES_C_0603.PcbLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "Open Footprint 2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "Open Footprint 3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "Open Footprint 4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "TKF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description_"; Value = "RES TKF 0R 1/10W SMD 0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dev Tools Status"; Value = "Production"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 1"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 2"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 3"; Value = "Vishay"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 4"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer 5"; Value = "KOA Speer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "ERJ-3GEY0R00V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 2"; Value = "RMCF0603ZT0R00"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 3"; Value = "CRCW06030000Z0EA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 4"; Value = "RC0603JR-070RL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 5"; Value = "RK73Z1JTTP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MCHP-ID"; Value = "RSMT0001"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55C to +155C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Populated"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/10W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Quantity Override"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Revision"; Value = "7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Status"; Value = "MCL Design"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 4"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 5"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 6"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "P0.0GTR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "RMCF0603ZT0R00TR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = "RMCF0603ZT0R00CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 4"; Value = "541-0.0GCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 5"; Value = "311-0.0GRCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 6"; Value = "660-RK73Z1JTTP"; VariantName = "[No Variations]"
