Removed Pin From Net: NetName=dsPIC_VDD Pin=C5-2
Removed Pin From Net: NetName=GND Pin=C29-1
Removed Pin From Net: NetName=TEMP Pin=C29-2
Removed Pin From Net: NetName=dsPIC_VDD Pin=dsPIC_VDD-1
Removed Pin From Net: NetName=dsPIC_VDD Pin=R54-1
Removed Pin From Net: NetName=DRV_VREG Pin=R54-2
Removed Pin From Net: NetName=dsPIC_VDD Pin=R60-2
Removed Pin From Net: NetName=dsPIC_VDD Pin=R76-2
Removed Pin From Net: NetName=dsPIC_VDD Pin=R93-2
Removed Pin From Net: NetName=dsPIC_VDD Pin=U6-1
Removed Pin From Net: NetName=TEMP Pin=U6-2
Removed Pin From Net: NetName=GND Pin=U6-3
Removed Pin From Net: NetName=RSVD1 Pin=U9-17
Removed Pin From Net: NetName=RSVD2 Pin=U9-21
Removed Pin From Net: NetName=RSVD3 Pin=U9-28
Removed Pin From Net: NetName=RSVD4 Pin=U9-36
Removed Pin From Net: NetName=RSVD5 Pin=U9-37
Removed Pin From Net: NetName=RSVD6 Pin=U9-39
Removed Member From Class: ClassName=Sheet3_SenseCkts_Programming_Interface Member=C29
Removed Member From Class: ClassName=Sheet1_dsPIC33CDV+OpAmp Member=dsPIC_VDD
Removed Member From Class: ClassName=Sheet1_dsPIC33CDV+OpAmp Member=R19
Removed Member From Class: ClassName=Sheet1_dsPIC33CDV+OpAmp Member=R54
Removed Member From Class: ClassName=Sheet3_SenseCkts_Programming_Interface Member=TEMP
Removed Member From Class: ClassName=Sheet3_SenseCkts_Programming_Interface Member=U6
Change Component Footprint: Designator=J4 Old Footprint=HDR_M_1.27_1x7 New Footprint=HDR_M_1.27_1x6
Change Component Comment : Designator=J4 Old Comment=Header 1x7 New Comment=Header 1x6
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAP_C_0603"; UniqueID = "\CZLCXRMO" ("\CZLCXRMO")
Add component (AddParameter): Name = "MCHP-ID"; Value = "RES1130"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55C to +155C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Owner"; Value = "Bogdan P (M91398)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Populated"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Quantity Override"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Revision"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "MCL Design"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P2.20KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Symbol"; Value = "Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "RES SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "2.2k"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "75V"; VariantName = "[No Variations]"
Added Component: Designator=R4(RES_C_0603)
Add component (AddParameter): Name = "Category"; Value = "Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "SVN Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://chn-vm-apps.microchip.com/mchprepo/parts/Datasheets/nrc.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Local Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Datasheets\nrc.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Open Symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Library\LibraryRefs\Resistor.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "Open Footprint"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "C:\ALTIUM_WORK\00001_MCHP-CDB\Library\Footprints\RES_C_0603.PcbLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "Open Footprint 2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "Open Footprint 3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7Description"; Value = "Open Footprint 4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "TKF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description_"; Value = "RES TKF 0R 1/10W SMD 0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dev Tools Status"; Value = "Production"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 1"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 2"; Value = "Stackpole Electronics Inc"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 3"; Value = "Vishay"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 4"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer 5"; Value = "KOA Speer"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "ERJ-3GEY0R00V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 2"; Value = "RMCF0603ZT0R00"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 3"; Value = "CRCW06030000Z0EA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 4"; Value = "RC0603JR-070RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 5"; Value = "RK73Z1JTTP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MCHP-ID"; Value = "RSMT0001"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55C to +155C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Populated"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power"; Value = "1/10W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Quantity Override"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Revision"; Value = "7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "MCL Design"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 3"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 4"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 5"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 6"; Value = "Mouser"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P0.0GTR-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "RMCF0603ZT0R00TR-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "RMCF0603ZT0R00CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 4"; Value = "541-0.0GCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 5"; Value = "311-0.0GRCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 6"; Value = "660-RK73Z1JTTP"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Symbol"; Value = "Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "RES SMD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0R"; VariantName = "[No Variations]"
Added Component: Designator=R5(RES_C_0603)
Add component (AddParameter): Name = "BOM Notes"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Resistor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "SVN Datasheet"; VariantName = "[No Variations]"
